Year,Age
1950,43.5
1951,43.6
1952,43.7
1953,43.8
1954,44
1955,44.1
1956,44.2
1957,44.3
1958,44.5
1959,44.5
1960,44.5
1961,44.5
1962,44.5
1963,44.6
1964,46.7
1965,48.9
1966,51.1
1967,53.3
1968,55.5
1969,56.7
1970,58
1971,59.2
1972,60.4
1973,61.7
1974,62.4
1975,63.2
1976,64
1977,64.7
1978,65.5
1979,66
1980,66.4
1981,66.9
1982,67.3
1983,67.8
1984,68
1985,68.2
1986,68.5
1987,68.7
1988,68.9
1989,69
1990,69.1
1991,69.2
1992,69.3
1993,69.4
1994,69.6
1995,69.9
1996,70.1
1997,70.3
1998,70.6
1999,70.9
2000,71.3
2001,71.6
2002,71.9
2003,72.3
2004,72.5
2005,72.8
2006,73.1
2007,73.4
2008,73.7
2009,74
2010,74.3
2011,74.6
2012,74.9
2013,75.1
2014,75.4
2015,75.7
2016,76
2017,76.3
2018,76.6
2019,76.8
2020,77
