Year,Military Expenditure (Dollars)
1949,3867611534
1950,3065775405
1951,2078117271
1952,2116410270
1953,2759635506
1954,2629399777
1955,2655048980
1956,2485246691
1957,4410810375
1958,2375200213
1959,1336797417
1960,2002095649
1961,2437672704
1962,2361280904
1963,2407351259
1964,2022830562
1965,1951000324
1966,2018056255
1967,2246645081
1968,2715773263
1969,3316137960
1970,3183162350
1971,3285243322
1972,3379238167
1973,3540186028
1974,3602743529
1975,4573530069
1976,8263806300
1977,8752815999
1978,9352703830
1979,9717748446
1980,8648733474
1981,9205822023
1982,7933591402
1983,9071131363
1984,7117297763
1985,6575979189
1986,6549939939
1987,6533205814
1988,6530579237
1989,5308450811
1990,3605014765
1991,3617331919
1992,3425275918
1993,3232102419
1994,3458391952
1995,3390038362
1996,3008080240
1997,2957758432
1998,2981712999
1999,3072847457
2000,2927070600
2001,2883415516
2002,2457199733
2003,2530935413
2004,2604412326
2005,2735694188
2006,2820803555
2007,3051353803
2008,3031965968
2009,3267667740
2010,3233411019
2011,3187049754
2012,3147722496
2013,3526897909
2014,3648721606
2015,3613435328
2016,3515461294
2017,3869625628
2018,3443181399
2019,3132654926
2020,3142676266
