Year,Suspended Particulate Matter (SPM)
1890,620.9415584
1891,623.3766234
1892,617.6046176
1893,611.8326118
1894,606.0606061
1895,600.2886003
1896,594.5165945
1897,588.7445887
1898,582.972583
1899,577.2005772
1900,571.4285714
1901,571.1168831
1902,570.8051948
1903,570.4935065
1904,570.1818182
1905,569.8701299
1906,569.5584416
1907,569.2467532
1908,568.9350649
1909,568.6233766
1910,568.3116883
1911,568
1912,567.6883117
1913,563.6363636
1914,555.3719008
1915,547.107438
1916,538.8429752
1917,530.5785124
1918,522.3140496
1919,514.0495868
1920,505.785124
1921,497.5206612
1922,489.2561983
1923,480.9917355
1924,472.7272727
1925,409.0909091
1926,363.6363636
1927,360
1928,358.1818182
1929,360
1930,361.8181818
1931,363.6363636
1932,381.8181818
1933,400
1934,403.6363636
1935,409.0909091
1936,405.4545455
1937,401.8181818
1938,400
1939,384.0909091
1940,368.1818182
1941,352.2727273
1942,336.3636364
1943,320.4545455
1944,304.5454545
1945,288.6363636
1946,272.7272727
1947,256.8181818
1948,240.9090909
1949,225
1950,209.0909091
1951,204.8562368
1952,200.6215645
1953,196.3868922
1954,192.1522199
1955,187.9175476
1956,183.6828753
1957,179.448203
1958,175.2135307
1959,170.9788584
1960,166.744186
1961,162.5095137
1962,158.2748414
1963,154.0401691
1964,149.8054968
1965,145.5708245
1966,141.3361522
1967,137.1014799
1968,132.8668076
1969,128.6321353
1970,124.397463
1971,120.1627907
1972,115.9281184
1973,111.6934461
1974,107.4587738
1975,103.2241015
1976,98.98942918
1977,94.75475687
1978,90.52008457
1979,86.28541226
1980,82.05073996
1981,77.81606765
1982,73.58139535
1983,69.34672304
1984,65.11205074
1985,60.87737844
1986,56.64270613
1987,52.40803383
1988,48.17336152
1989,43.93868922
1990,39.70401691
1991,35.46934461
1992,31.2346723
1993,27
1994,26
1995,26
1996,26
1997,25
1998,25
1999,25
2000,25
2001,23.22
2002,23
2003,24.79
2004,22.03
2005,22.35
2006,23.82
2007,21.56
2008,18.81
2009,19
2010,20
2011,20
2012,17
2013,17
2014,17
2015,15
2016,16
