Year,Alcohol Consumption per Capita (Liters)
1934,2.31
1935,2.57
1936,2.99
1937,3.1
1938,2.84
1939,2.84
1940,2.76
1941,3.07
1942,3.41
1943,3.79
1944,4.28
1945,4.43
1946,4.05
1947,4.2
1948,4.05
1949,4.01
1950,3.94
1951,3.9
1952,3.94
1953,3.94
1954,3.82
1955,3.82
1956,3.79
1957,3.67
1958,3.63
1959,3.79
1960,3.75
1961,3.67
1962,3.75
1963,3.82
1964,3.94
1965,3.94
1966,4.01
1967,4.05
1968,4.13
1969,4.24
1970,4.32
1971,4.35
1972,4.43
1973,4.54
1974,4.73
1975,4.77
1976,4.81
1977,4.88
1978,5.03
1979,5.19
1980,5.22
1981,5.26
1982,5.22
1983,5.19
1984,5.11
1985,5.03
1986,5.07
1987,5.07
1988,5.03
1989,4.96
1990,5.07
1991,4.88
1992,4.88
1993,4.77
1994,4.73
1995,4.66
1996,4.66
1997,4.62
1998,4.62
1999,4.66
2000,4.62
2001,4.66
2002,4.66
2003,4.58
2004,4.58
2005,4.5
2006,4.54
2007,4.58
2008,4.54
2009,4.43
2010,4.32
2011,4.24
2012,4.28
2013,4.24
