Year,GDP per Capita (Dollars)
1950,3229.2371
1951,3244.0891
1952,3551.5273
1953,4100.478
1954,4119.4692
1955,4327.0483
1956,4054.9792
1957,4189.8511
1958,4535.8091
1959,4397.3906
1960,4583.8696
1961,4337.5786
1962,4462.2202
1963,4573.1929
1964,4663.7515
1965,4994.6255
1966,5113.0713
1967,5188.5645
1968,5352.0674
1969,5496.7139
1970,5820.207
1971,5955.5088
1972,6196.0322
1973,6470.4277
1974,6515.0635
1975,6577.6211
1976,6925.7441
1977,7525.3076
1978,7713.6411
1979,7870.6636
1980,7714.3364
1981,7426.2861
1982,6746.707
1983,6648.271
1984,6961.833
1985,6894.2461
1986,7448.4355
1987,7269.312
1988,7277.6221
1989,7550.5786
1990,7601.5981
1991,7542.7969
1992,8131.8481
1993,8484.915
1994,8664.3789
1995,8793.7188
1996,8432.1377
1997,8607.8789
1998,9255.2881
1999,9152.2686
2000,9358.4775
2001,9580.1377
2002,9480.7598
2003,9641.1309
2004,9936.7529
2005,10523.793
2006,10574.515
2007,11048.071
2008,11534.453
2009,12052.773
2010,12106.992
2011,12695.542
2012,12887.226
2013,12796.815
2014,13560.92
2015,13978.959
2016,14454.995
2017,15043.887
