Year,top10Percent
1930,48.9513409
1931,47.9656896
1932,47.0348966
1933,47.0753448
1934,47.2145547
1935,45.2748184
1936,45.1933053
1937,45.3153571
1938,40.6660961
1939,41.9464053
1940,37.9293086
1941,35.0355743
1942,34.6028574
1943,35.0529644
1944,34.4631776
1945,34.3978019
1946,31.8310274
1947,30.2310862
1948,29.9211416
1949,29.0557773
1950,30.5304163
1951,30.0093888
1952,29.7001931
1953,28.3302584
1954,28.8182783
1955,29.0640818
1956,29.4183354
1957,29.1764783
1958,28.853538
1959,29.4097484
1960,29.3767549
1961,29.4462655
1962,29.621
1963,29.0845
1964,28.548
1965,28.4475
1966,28.347
1967,27.79
1968,28.639
1969,27.878
1970,27.554
1971,26.989
1972,26.495
1973,24.857
1974,24.876
1975,24.714
1976,23.46
1977,23.906
1978,22.941
1979,24.36
1980,24.341
1981,25.288
1982,25.663
1983,24.722
1984,24.809
1985,25.073
1986,25.108
1987,26.159
1988,27.934
1989,27.807
1990,28.127
1991,27.616
1992,29.193
1993,29.46
1994,29.167
1995,29.465
1996,30.2749991
1997,31.2370002
1998,32.2899997
1999,33.3009988
2000,34.149
2001,33.2370013
2002,32.0230007
2003,32.2959989
2004,33.5359991
2005,33.9769989
2006,34.898001
2007,35.9510005
2008,38.1330013
2009,37.8470004
2010,39.5229995
2011,39.8009986
2012,41.8240011
