Year,Subject_0,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Subject_7,Subject_8,Subject_9,Subject_10,Subject_11,Subject_12,Subject_13,Subject_14,Subject_15,Subject_16,Subject_17,Subject_18,Subject_19
1751.0000,209.9475,626.8249,695.9389,948.9385,1081.1901,211.2487,353.7111,548.3809,276.8278,247.7855,1071.0620,764.0641,541.7540,256.3504,521.4319,1011.1486,774.0996,365.0998,255.4437,501.8914
1752.0000,209.9731,626.8634,695.9526,948.9824,1081.2358,211.2833,353.7322,548.4234,276.8485,247.8187,1071.0868,764.0974,541.8036,256.3920,521.4498,1011.1820,774.1410,365.1229,255.4826,501.9319
1753.0000,209.9997,626.9033,695.9669,949.0278,1081.2831,211.3191,353.7541,548.4674,276.8701,247.8531,1071.1124,764.1319,541.8550,256.4350,521.4682,1011.2166,774.1838,365.1468,255.5228,501.9738
1754.0000,210.0272,626.9446,695.9817,949.0748,1081.3321,211.3562,353.7768,548.5130,276.8924,247.8887,1071.1390,764.1676,541.9083,256.4796,521.4873,1011.2525,774.2282,365.1715,255.5645,502.0172
1755.0000,210.0556,626.9874,695.9970,949.1235,1081.3829,211.3946,353.8003,548.5601,276.9154,247.9255,1071.1665,764.2046,541.9634,256.5258,521.5071,1011.2896,774.2742,365.1972,255.6077,502.0621
1756.0000,210.0851,627.0317,696.0128,949.1740,1081.4354,211.4344,353.8247,548.6090,276.9393,247.9637,1071.1950,764.2428,542.0205,256.5735,521.5276,1011.3280,774.3218,365.2237,255.6523,502.1086
1757.0000,210.1156,627.0775,696.0292,949.2262,1081.4898,211.4755,353.8499,548.6595,276.9640,248.0032,1071.2245,764.2825,542.0795,256.6230,521.5489,1011.3678,774.3711,365.2512,255.6986,502.1568
1758.0000,210.1472,627.1250,696.0462,949.2802,1081.5461,211.5181,353.8759,548.7119,276.9897,248.0441,1071.2551,764.3235,542.1407,256.6742,521.5708,1011.4090,774.4221,365.2796,255.7465,502.2066
1759.0000,210.1799,627.1742,696.0638,949.3362,1081.6044,211.5623,353.9029,548.7661,277.0162,248.0865,1071.2867,764.3660,542.2040,256.7272,521.5936,1011.4516,774.4749,365.3091,255.7960,502.2582
1760.0000,210.2138,627.2251,696.0820,949.3942,1081.6648,211.6080,353.9309,548.8222,277.0436,248.1303,1071.3195,764.4100,542.2696,256.7821,521.6172,1011.4958,774.5296,365.3396,255.8474,502.3117
1761.0000,210.2488,627.2777,696.1008,949.4542,1081.7273,211.6553,353.9598,548.8803,277.0720,248.1757,1071.3534,764.4555,542.3375,256.8390,521.6415,1011.5415,774.5862,365.3711,255.9005,502.3670
1762.0000,210.2852,627.3323,696.1204,949.5163,1081.7920,211.7043,353.9898,548.9405,277.1015,248.2227,1071.3885,764.5027,542.4078,256.8978,521.6668,1011.5888,774.6448,365.4038,255.9555,502.4243
1763.0000,210.3227,627.3888,696.1406,949.5806,1081.8590,211.7550,354.0209,549.0028,277.1319,248.2714,1071.4248,764.5515,542.4806,256.9588,521.6929,1011.6378,774.7055,365.4377,256.0125,502.4836
1764.0000,210.3617,627.4473,696.1615,949.6472,1081.9284,211.8075,354.0530,549.0673,277.1635,248.3218,1071.4625,764.6021,542.5560,257.0219,521.7200,1011.6886,774.7684,365.4727,256.0715,502.5451
