Year,Subject_0,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Subject_7,Subject_8,Subject_9,Subject_10,Subject_11,Subject_12,Subject_13,Subject_14,Subject_15,Subject_16,Subject_17,Subject_18,Subject_19
1850.0000,10.7294,10.7294,10.7294,10.7294,10.7294,10.7294,10.7294,10.7294,10.7294,10.7294,10.7294,10.7294,10.7294,10.7294,10.7294,10.7294,10.7294,10.7294,10.7294,10.7294
1860.0000,10.9056,12.0351,11.0400,12.9473,13.3409,11.1275,11.1375,11.9922,10.9177,11.1777,12.1343,12.0981,12.1867,11.3095,11.0324,11.8062,12.4519,11.1886,11.2700,11.8315
1870.0000,11.0803,13.2496,11.3239,14.8129,15.4160,11.5224,11.5364,13.1875,11.1035,11.6210,13.2556,13.3252,13.5681,11.8828,11.3207,12.6891,13.9916,11.6369,11.8043,12.8842
1880.0000,11.2524,14.2884,11.5566,16.0301,16.5287,11.9110,11.9174,14.2515,11.2841,12.0547,13.8671,14.2837,14.8015,12.4427,11.5804,13.2190,15.1852,12.0636,12.3262,13.8404
1890.0000,11.4203,15.0789,11.7181,16.4055,16.4504,12.2903,12.2718,15.1273,11.4572,12.4738,13.8454,14.8745,15.8229,12.9825,11.7988,13.3005,15.9059,12.4586,12.8296,14.6574
1900.0000,11.5828,15.5660,11.7945,15.8796,15.1971,12.6572,12.5919,15.7683,11.6203,12.8740,13.1948,15.0365,16.5789,13.4962,11.9655,12.9190,16.0774,12.8126,13.3087,15.2986
1910.0000,11.7386,15.7157,11.7792,14.5358,13.0263,13.0088,12.8704,16.1401,11.7713,13.2508,12.0466,14.7529,17.0301,13.9775,12.0723,12.1430,15.6815,13.1170,13.7579,15.7351
1920.0000,11.8865,15.5176,11.6736,12.5875,10.3838,13.3424,13.1012,16.2229,11.9080,13.6000,10.6326,14.0530,17.1531,14.4211,12.1140,11.1125,14.7600,13.3648,14.1720,15.9476
1930.0000,12.0253,14.9854,11.4867,10.3442,7.8123,13.6553,13.2791,16.0122,12.0286,13.9179,9.2381,13.0093,16.9415,14.8215,12.0887,10.0130,13.4109,13.5499,14.5462,15.9265
1940.0000,12.1540,14.1564,11.2346,8.1620,5.8399,13.9451,13.4001,15.5194,12.1315,14.2011,8.1446,11.7297,16.4062,15.1743,11.9976,9.0425,11.7773,13.6681,14.8763,15.6728
1950.0000,12.2715,13.0883,10.9391,6.3876,4.8716,14.2094,13.4615,14.7707,12.2152,14.4463,7.5728,10.3467,15.5752,15.4753,11.8450,8.3758,10.0325,13.7164,15.1583,15.1977
1960.0000,12.3769,11.8557,10.6255,5.3026,5.1063,14.4461,13.4620,13.8062,12.2787,14.6511,7.6380,9.0032,14.4918,15.7209,11.6384,8.1331,8.3616,13.6938,15.3890,14.5226
1970.0000,12.4694,10.5445,10.3208,5.0795,6.4959,14.6534,13.4016,12.6773,12.3210,14.8130,8.3272,7.8383,13.2123,15.9083,11.3878,8.3579,6.9420,13.6007,15.5658,13.6777
1980.0000,12.5483,9.2462,10.0513,5.7535,8.7549,14.8296,13.2816,11.4443,12.3415,14.9304,9.5012,6.9725,11.8035,16.0354,11.1053,9.0099,5.9242,13.4395,15.6865,12.7008
1990.0000,12.6129,8.0514,9.8402,7.2177,11.4194,14.9734,13.1046,10.1732,12.3400,15.0019,10.9230,6.4954,10.3388,16.1006,10.8046,9.9716,5.4163,13.2139,15.7498,11.6357
2000.0000,12.6627,7.0434,9.7056,9.2396,13.9422,15.0835,12.8747,8.9318,12.3165,15.0269,12.3058,6.4563,8.8944,16.1032,10.5002,11.0698,5.4722,12.9292,15.7550,10.5299
2010.0000,12.6974,6.2925,9.6591,11.4981,15.8052,15.1592,12.5969,7.7864,12.2713,15.0049,13.3704,6.8593,7.5456,16.0432,10.2070,12.1067,6.0859,12.5923,15.7020,9.4332
