Year,Subject_0,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Subject_7,Subject_8,Subject_9,Subject_10,Subject_11,Subject_12,Subject_13,Subject_14,Subject_15,Subject_16,Subject_17,Subject_18,Subject_19
1930,45.3243,46.7825,31.5033,48.9562,35.7879,38.943,35.3259,42.9015,45.6474,43.1223,35.3051,32.2622,51.3043,34.8185,38.9509,28.4173,34.7824,28.2435,36.0804,47.1845
1931,45.0025,46.4637,31.1538,48.6417,35.447,38.6084,34.984,42.5749,45.3262,42.7961,34.9632,31.9142,50.9945,34.4756,38.6164,28.0616,34.4395,27.8875,35.7401,46.8665
1932,44.6868,46.151,30.8087,48.3337,35.111,38.2791,34.6471,42.254,45.0112,42.4757,34.6262,31.5708,50.6914,34.1376,38.2871,27.71,34.1014,27.5355,35.4047,46.5547
1933,44.3771,45.8446,30.4681,48.0321,34.78,37.9551,34.315,41.9389,44.7022,42.1611,34.2941,31.2318,50.3951,33.8044,37.9631,27.3625,33.7681,27.1876,35.0744,46.2491
1934,44.0734,45.5443,30.132,47.7369,34.4539,37.6364,33.9878,41.6295,44.3992,41.8522,33.9669,30.8975,50.1054,33.476,37.6445,27.019,33.4397,26.8438,34.7489,45.9498
1935,43.7757,45.2502,29.8002,47.4482,34.1327,37.3231,33.6655,41.3259,44.1024,41.5491,33.6445,30.5676,49.8225,33.1524,37.3311,26.6797,33.116,26.504,34.4285,45.6567
1936,43.4841,44.9624,29.473,47.166,33.8165,37.015,33.3481,41.028,43.8116,41.2518,33.327,30.2423,49.5463,32.8337,37.023,26.3445,32.7972,26.1684,34.113,45.3699
1937,43.1985,44.6807,29.1501,46.8901,33.5052,36.7122,33.0355,40.7358,43.5268,40.9603,33.0145,29.9215,49.2768,32.5198,36.7202,26.0133,32.4832,25.8367,33.8025,45.0893
1938,42.9189,44.4052,28.8317,46.6208,33.1988,36.4147,32.7279,40.4495,43.2482,40.6745,32.7067,29.6052,49.014,32.2107,36.4228,25.6863,32.174,25.5092,33.497,44.8149
1939,42.6454,44.1359,28.5178,46.3578,32.8974,36.1225,32.4251,40.1688,42.9756,40.3945,32.4039,29.2935,48.758,31.9064,36.1306,25.3633,31.8696,25.1857,33.1964,44.5468
1940,42.3778,43.8728,28.2083,46.1013,32.6009,35.8356,32.1272,39.894,42.709,40.1203,32.1059,28.9863,48.5086,31.607,35.8437,25.0444,31.5701,24.8663,32.9008,44.285
1941,42.1163,43.6159,27.9032,45.8513,32.3094,35.554,31.8342,39.6248,42.4486,39.8519,31.8129,28.6836,48.266,31.3124,35.5621,24.7296,31.2754,24.551,32.6102,44.0293
1942,41.8609,43.3652,27.6026,45.6077,32.0227,35.2776,31.5461,39.3615,42.1942,39.5892,31.5247,28.3855,48.03,31.0226,35.2858,24.4189,30.9855,24.2397,32.3245,43.7799
1943,41.6115,43.1207,27.3064,45.3706,31.7411,35.0066,31.2628,39.1038,41.9458,39.3323,31.2414,28.0919,47.8008,30.7377,35.0148,24.1123,30.7004,23.9325,32.0438,43.5368
1944,41.368,42.8824,27.0147,45.1398,31.4643,34.7409,30.9845,38.8519,41.7035,39.0812,30.9629,27.8028,47.5783,30.4575,34.7492,23.8098,30.4201,23.6294,31.7681,43.2999
1945,41.1307,42.6503,26.7274,44.9156,31.1925,34.4805,30.711,38.6058,41.4673,38.8359,30.6894,27.5183,47.3626,30.1822,34.4888,23.5114,30.1447,23.3303,31.4973,43.0692
1946,40.8993,42.4244,26.4446,44.6978,30.9256,34.2254,30.4424,38.3654,41.2372,38.5963,30.4207,27.2382,47.1535,29.9117,34.2337,23.217,29.874,23.0353,31.2315,42.8448
1947,40.674,42.2047,26.1662,44.4864,30.6637,33.9755,30.1787,38.1308,41.0131,38.3626,30.1569,26.9628,46.9511,29.646,33.9839,22.9268,29.6082,22.7444,30.9707,42.6266
1948,40.4547,41.9912,25.8922,44.2815,30.4067,33.731,29.9198,37.9019,40.7951,38.1346,29.898,26.6918,46.7555,29.3852,33.7394,22.6406,29.3473,22.4576,30.7149,42.4147
1949,40.2414,41.7838,25.6227,44.083,30.1546,33.4918,29.6659,37.6788,40.5831,37.9123,29.6439,26.4254,46.5666,29.1292,33.5002,22.3585,29.0911,22.1748,30.464,42.209
1950,40.0342,41.5827,25.3576,43.8909,29.9075,33.2578,29.4168,37.4615,40.3773,37.6959,29.3948,26.1635,46.3843,28.878,33.2663,22.0806,28.8398,21.8961,30.2181,42.0096
1951,39.833,41.3878,25.097,43.7054,29.6653,33.0292,29.1726,37.2498,40.1774,37.4852,29.1505,25.9061,46.2088,28.6316,33.0377,21.8067,28.5932,21.6214,29.9771,41.8164
1952,39.6378,41.199,24.8408,43.5262,29.428,32.8059,28.9333,37.044,39.9837,37.2803,28.9111,25.6533,46.0401,28.3901,32.8144,21.5369,28.3515,21.3509,29.7412,41.6294
1953,39.4487,41.0165,24.5891,43.3535,29.1957,32.5878,28.6989,36.8438,39.796,37.0812,28.6766,25.405,45.878,28.1534,32.5964,21.2712,28.1146,21.0844,29.5102,41.4487
1954,39.2656,40.8401,24.3418,43.1872,28.9683,32.3751,28.4693,36.6495,39.6144,36.8879,28.4469,25.1612,45.7226,27.9215,32.3836,21.0096,27.8826,20.822,29.2841,41.2742
1955,39.0885,40.67,24.099,43.0274,28.7458,32.1676,28.2447,36.4609,39.4388,36.7003,28.2222,24.922,45.574,27.6944,32.1762,20.752,27.6553,20.5636,29.063,41.1059
1956,38.9174,40.506,23.8606,42.8741,28.5283,31.9655,28.0249,36.278,39.2693,36.5185,28.0023,24.6873,45.4321,27.4721,31.9741,20.4986,27.4329,20.3093,28.8469,40.9439
1957,38.7524,40.3482,23.6266,42.7271,28.3157,31.7686,27.81,36.1009,39.1059,36.3425,27.7873,24.4571,45.2968,27.2547,31.7773,20.2492,27.2153,20.0591,28.6358,40.7882
1958,38.5934,40.1967,23.3971,42.5867,28.108,31.577,27.6,35.9295,38.9486,36.1723,27.5772,24.2315,45.1683,27.0421,31.5858,20.004,27.0025,19.813,28.4296,40.6387
1959,38.4404,40.0513,23.172,42.4526,27.9053,31.3908,27.3949,35.7639,38.7973,36.0078,27.372,24.0104,45.0466,26.8343,31.3996,19.7628,26.7946,19.5709,28.2285,40.4954
1960,38.2934,39.9121,22.9514,42.325,27.7075,31.2098,27.1946,35.604,38.652,35.8491,27.1716,23.7938,44.9315,26.6314,31.2186,19.5258,26.5914,19.3329,28.0322,40.3583
1961,38.1525,39.7791,22.7352,42.2039,27.5147,31.0341,26.9993,35.4499,38.5129,35.6962,26.9761,23.5818,44.8231,26.4333,31.043,19.2928,26.3931,19.099,27.841,40.2276
1962,38.0176,39.6524,22.5235,42.0892,27.3268,30.8638,26.8088,35.3015,38.3798,35.5491,26.7855,23.3742,44.7215,26.2399,30.8727,19.0639,26.1996,18.8691,27.6547,40.103
1963,37.8888,39.5318,22.3162,41.9809,27.1438,30.6987,26.6232,35.1589,38.2527,35.4077,26.5998,23.1713,44.6266,26.0515,30.7076,18.8391,26.0109,18.6433,27.4734,39.9847
1964,37.7659,39.4174,22.1134,41.8791,26.9657,30.5389,26.4425,35.0221,38.1318,35.2721,26.419,22.9728,44.5383,25.8678,30.5479,18.6184,25.827,18.4216,27.297,39.8726
1965,37.6491,39.3092,21.9149,41.7838,26.7926,30.3844,26.2666,34.891,38.0169,35.1423,26.243,22.7789,44.4568,25.689,30.3935,18.4017,25.648,18.204,27.1256,39.7668
1966,37.5383,39.2072,21.721,41.6948,26.6245,30.2353,26.0957,34.7656,37.908,35.0183,26.0719,22.5895,44.382,25.515,30.2443,18.1892,25.4738,17.9904,26.9592,39.6672
1967,37.4336,39.1114,21.5315,41.6124,26.4612,30.0914,25.9296,34.646,37.8053,34.9,25.9057,22.4046,44.314,25.3458,30.1005,17.9808,25.3044,17.7809,26.7978,39.5739
1968,37.3349,39.0218,21.3464,41.5363,26.3029,29.9528,25.7684,34.5321,37.7086,34.7875,25.7444,22.2243,44.2526,25.1814,29.962,17.7764,25.1398,17.5754,26.6413,39.4868
1969,37.2422,38.9383,21.1658,41.4667,26.1496,29.8195,25.6121,34.424,37.6179,34.6808,25.588,22.0485,44.198,25.0219,29.8287,17.5761,24.98,17.3741,26.4898,39.4059
1970,37.1555,38.8611,20.9896,41.4036,26.0011,29.6915,25.4607,34.3217,37.5334,34.5799,25.4364,21.8772,44.15,24.8672,29.7008,17.38,24.8251,17.1768,26.3433,39.3313
1971,37.0749,38.7901,20.8179,41.3469,25.8576,29.5688,25.3141,34.2251,37.4549,34.4848,25.2897,21.7105,44.1088,24.7173,29.5781,17.1879,24.6749,16.9835,26.2017,39.2629
1972,37.0003,38.7253,20.6506,41.2967,25.7191,29.4514,25.1725,34.1342,37.3824,34.3954,25.1479,21.5483,44.0743,24.5722,29.4608,16.9999,24.5296,16.7944,26.0651,39.2008
1973,36.9317,38.6666,20.4877,41.2529,25.5854,29.3393,25.0357,34.0491,37.316,34.3118,25.011,21.3906,44.0465,24.432,29.3487,16.816,24.3892,16.6093,25.9335,39.1449
1974,36.8691,38.6142,20.3293,41.2155,25.4568,29.2325,24.9038,33.9697,37.2557,34.234,24.879,21.2375,44.0254,24.2966,29.242,16.6362,24.2535,16.4283,25.8068,39.0953
1975,36.8126,38.568,20.1753,41.1846,25.333,29.131,24.7768,33.8961,37.2015,34.1619,24.7518,21.0889,44.0111,24.166,29.1405,16.4605,24.1226,16.2514,25.6851,39.0518
1976,36.7621,38.5279,20.0258,41.1601,25.2142,29.0347,24.6547,33.8283,37.1533,34.0956,24.6295,20.9448,44.0034,24.0402,29.0444,16.2889,23.9966,16.0785,25.5684,39.0147
1977,36.7176,38.4941,19.8807,41.1421,25.1003,28.9438,24.5374,33.7662,37.1112,34.0351,24.5121,20.8052,44.0025,23.9193,28.9535,16.1213,23.8754,15.9097,25.4566,38.9838
1978,36.6792,38.4664,19.7401,41.1305,24.9913,28.8582,24.425,33.7098,37.0751,33.9804,24.3996,20.6702,44.0083,23.8032,28.8679,15.9579,23.759,15.7449,25.3498,38.9591
1979,36.6468,38.4449,19.6039,41.1254,24.8873,28.7779,24.3176,33.6592,37.0452,33.9315,24.292,20.5397,44.0208,23.6919,28.7877,15.7985,23.6475,15.5843,25.248,38.9406
1980,36.6204,38.4297,19.4722,41.1267,24.7883,28.7029,24.215,33.6144,37.0212,33.8883,24.1892,20.4138,44.04,23.5854,28.7127,15.6432,23.5407,15.4277,25.1512,38.9284
1981,36.6001,38.4206,19.3449,41.1344,24.6941,28.6331,24.1172,33.5753,37.0034,33.8509,24.0913,20.2923,44.0659,23.4838,28.643,15.4921,23.4388,15.2752,25.0593,38.9225
1982,36.5857,38.4177,19.222,41.1486,24.6049,28.5687,24.0244,33.5419,36.9916,33.8193,23.9983,20.1754,44.0985,23.3869,28.5787,15.345,23.3417,15.1267,24.9724,38.9228
1983,36.5775,38.4211,19.1036,41.1693,24.5206,28.5096,23.9364,33.5143,36.9859,33.7935,23.9102,20.0631,44.1379,23.2949,28.5196,15.202,23.2494,14.9823,24.8904,38.9293
1984,36.5752,38.4306,18.9897,41.1963,24.4413,28.4557,23.8534,33.4925,36.9862,33.7734,23.827,19.9553,44.1839,23.2078,28.4658,15.0631,23.162,14.842,24.8135,38.9421
1985,36.5789,38.4463,18.8801,41.2299,24.3669,28.4072,23.7752,33.4764,36.9926,33.7591,23.7486,19.852,44.2367,23.1254,28.4173,14.9283,23.0793,14.7058,24.7415,38.9611
1986,36.5887,38.4682,18.7751,41.2699,24.2974,28.3639,23.7019,33.4661,37.0051,33.7506,23.6751,19.7532,44.2962,23.0479,28.3742,14.7975,23.0015,14.5736,24.6744,38.9863
